"% GC","PE1.R1","PE1.R2","PE2.R1","PE2.R2","PE3.R1","PE3.R2","PE1.R1.clean","PE1.R2.clean","PE2.R1.clean","PE2.R2.clean","PE3.R1.clean","PE3.R2.clean"
50,1.6958166745198295,7.605435385986108,5.187268234634798,5.290503454365061,5.379934728664606,5.275896818429487,1.006532312860337,1.0332091871843943,5.08646887476742,5.148559906901619,5.209222501179605,5.056582441039636
51,0.6986204869583067,5.726700657265607,5.355940653510097,5.403555401825944,5.533895004089158,5.421574091159584,0.5370713800379875,0.5297911973325384,5.271710387500034,5.285347617051968,5.354073890702684,5.204970222746039
52,0.3398631217022547,3.077346494194698,5.642156095679293,5.605082786430125,5.655793800930187,5.544465506218815,0.4052141894482853,0.4101144575042302,5.568115076265976,5.4866171077268415,5.46046741252562,5.309154235451288
53,0.17727932223315962,1.227300079767508,5.851040601470926,5.803879447665686,5.685015371197743,5.56897544718993,0.26035067733783024,0.26074015631111963,5.7776535527002055,5.690404715353859,5.485011088356246,5.335223815767421
54,0.12549509915978932,0.7759839158849295,6.138165819362211,6.097432209792374,5.822696609335694,5.673414511251896,0.13432390674018976,0.1266578829849595,6.0560638736119445,5.993837808087112,5.589275893895194,5.414294806400695
55,0.09143880830973497,0.3197697471230052,6.441121134817844,6.395263105196566,5.864162374473725,5.706638062416165,0.08835328757201129,0.08720888356007274,6.352742588284296,6.271190403816027,5.600300106703666,5.4297479374718085
56,0.04128742109903849,0.05760986691421028,6.3599691404075065,6.29468146111905,5.5606646316576835,5.432136042908861,0.05157679223746852,0.053522097534326726,6.277020096146556,6.17280397718586,5.305606827230144,5.179682056206823
57,0.03452281538224688,0.030787459241602252,5.602125963907378,5.586604891635794,4.814094635677008,4.710164511717864,0.040476569560274206,0.04022468199784803,5.5464670296596505,5.513147268472636,4.64154602883748,4.5568548580494515
58,0.02845799646374405,0.020524972827734835,4.598552364871012,4.605820081739653,3.8258841348444337,3.752179955776487,0.027918741885064484,0.02615158388840809,4.575045191439065,4.571911124860829,3.768969716825754,3.749950824822659
59,0.023326226609626268,0.016093444603564815,3.8462588202756254,3.762845777846552,3.036560327877502,2.9820117535884227,0.017715506898956578,0.01473796888626388,3.848511171579495,3.7681821533856983,3.058641058538711,3.091286374137683
60,0.019827292618182328,0.01352782300009796,3.163563118420047,3.0993710233840943,2.418236246230914,2.383615057863963,0.016482148823712767,0.012410921167380108,3.190666312259828,3.1338864796904877,2.4915002896322918,2.55457636325717
61,0.013762473699679497,0.010495724741455313,2.6106014345343587,2.6286853387462337,1.9587142509082274,1.9382734688121097,0.015473037671240558,0.012078485778968142,2.658873369888389,2.6860213932021635,2.049474467880843,2.1342970051373915
62,0.010730064240428083,0.010495724741455313,2.1224157820614065,2.0999262704690476,1.565301596711293,1.5479472225484001,0.01278207459798133,0.010859556021457597,2.190380411897474,2.1895026898885015,1.6751446434520052,1.7656313742481586
63,0.004431983055828991,0.006297434844873189,1.5708187617588514,1.531935809796015,1.1580308106774346,1.1544523907599076,0.008185012681163482,0.007535202137337924,1.644612148299167,1.6391142703486332,1.287394038212854,1.3817281747090313
64,0.0018660981287701014,0.0020991449482910627,1.0339601081541379,1.0266609624889633,0.8045941336494994,0.8111268297804791,0.005718296530675858,0.005429778010728799,1.118117040118306,1.1435848272661704,0.940920792440717,1.0397788113995876
65,0.0030324094592514145,0.0016326682931152709,0.653491901176522,0.6520057163142516,0.5830192105054882,0.5968900643719894,0.006054666914833261,0.005318966214591476,0.7449850975577899,0.7709035183489786,0.7077347258615204,0.8200802862237828
66,0.0025658849270588893,0.001399429965527375,0.45434199561124194,0.4342760397229226,0.4414893534475401,0.46329690702562387,0.005606173069290056,0.004986530826179508,0.5369994345932131,0.5386971622620604,0.5387484868140123,0.6566570256373776
67,0.0011663113304813133,0.0006997149827636875,0.39575243910871094,0.38839988713010076,0.3559041383516427,0.37828872772593103,0.00493343230097525,0.004654095437767541,0.4670314864900661,0.4798811448798589,0.4362317661705254,0.5399838651527717
68,0.00046652453219252535,0.0002332383275878959,0.3228794037693828,0.36327723213879354,0.3035908545641051,0.33080654170013873,0.004372814994046245,0.004100036457080929,0.38628518606815754,0.44570670052934414,0.37128477332061555,0.46983176969742046
69,0.00023326226609626268,0.0002332383275878959,0.2526447180241127,0.26979546881969035,0.25357432722882367,0.28658613489103485,0.0030273334574166303,0.002991918495707705,0.30992330014879604,0.33967599029445783,0.3026160513384339,0.3987365886492374
70,0.00046652453219252535,0.0004664766551757918,0.20124238972608474,0.22200780986883425,0.21961957643465807,0.2555526354865425,0.0021303457663302216,0.002105424126609126,0.2507337043644106,0.2834680226126902,0.24917258489736416,0.3344855144747471
71,0.000699786798288788,0.0002332383275878959,0.16175812338742254,0.18405075504501142,0.1912049746503266,0.2245657329280029,0.0020182223049444205,0.0019946123304718033,0.20259648680519587,0.23886137946043948,0.20380696236838436,0.2784662302605449
72,0.00046652453219252535,0.0002332383275878959,0.1462009585397008,0.14072327759623524,0.16684073390679824,0.1978346756331424,0.001681851920787017,0.0016621769420598364,0.17711207750914104,0.18499166323423344,0.16598348031578872,0.23253796188964174
73,0.00023326226609626268,0.0002332383275878959,0.10598887162336741,0.10322134333384914,0.1443387281245587,0.17877656563849173,0.0013454815366296137,0.001329741553647869,0.12897485994992633,0.1375071721366762,0.13456024457399382,0.1938175619782379
74,0,0,0.06841513430109208,0.06881422888923276,0.12678716361441184,0.16332194506418252,0.0012333580752438124,0.0012189297575105464,0.08905841958298737,0.09622804067118608,0.10636532690526804,0.16215683136174555
75,0,0.0002332383275878959,0.05376774517545935,0.04878892418601687,0.11109783406555378,0.14733922690240941,0.0011212346138580113,0.0011081179613732241,0.06978526416554089,0.07374485359847906,0.08018634584985614,0.1325574163981567
76,0,0.0002332383275878959,0.04639856182653852,0.03859422360983424,0.09474120365556722,0.13250589760746942,0.0012333580752438124,0.0012189297575105464,0.05909825381558239,0.059895210361691535,0.06262091214223997,0.1113649358620961
77,0,0,0.039120356049826596,0.03267765631115683,0.08060373657444983,0.12126052545088661,0.0013454815366296137,0.001329741553647869,0.05051210874809438,0.05009254079799126,0.048791305025729974,0.09277267703198569
78,0,0,0.026656428657207423,0.025304703215881887,0.06989588554703928,0.10976663678255612,0.0010091111524722102,0.0009973061652359017,0.036354103583619464,0.039120745506510235,0.03672388026351534,0.07316996935241277
79,0,0.0004664766551757918,0.014920321842259445,0.02129964227523871,0.06285042994349668,0.09755826314295105,0.0004484938455432046,0.00044324718454928966,0.022835492200765993,0.03129659640520818,0.02785657865670108,0.05709709632029558
80,0,0.0006997149827636875,0.011099263809485685,0.017294581334595535,0.05709302018817884,0.08929508912734048,0.00011212346138580114,0.00011081179613732242,0.01790302588540054,0.026799958990666777,0.021061603498538164,0.047235115549541365
81,0,0.0002332383275878959,0.007460160921129722,0.010103676463895286,0.05006308320931365,0.08249194961824757,0,0,0.013061901538838148,0.01942547363081887,0.016000615777001882,0.040552680491762555
82,0,0,0.005367676760325044,0.00591656729867742,0.04351422359544808,0.0760615848767762,0,0,0.008677487036291077,0.014029508733369188,0.01251854344491425,0.03462471390824909
83,0,0.0002332383275878959,0.004003013177191559,0.005097350288091315,0.0390914155623872,0.07099806094991709,0,0,0.005480518128183839,0.009442938570536952,0.009262030454176421,0.026419869250613407
84,0,0.0002332383275878959,0.003275192599520366,0.003640964491493796,0.034963461398197046,0.06545303628154683,0,0,0.003379652845713367,0.005395964897449687,0.006216979345954036,0.018120716033694563
85,0,0.0002332383275878959,0.002638349594058073,0.002730723368620348,0.030835507234006895,0.06028078638079812,0,0,0.0021008652824704714,0.003957040924796437,0.004567576662333577,0.0137825223066688
86,0,0.0004664766551757918,0.001728573871969082,0.003640964491493796,0.02675410894384896,0.055527908093623624,0,0,0.0011874455944398316,0.003507377183342297,0.0035243647085907237,0.011101464692761576
